filter_name,sample_index,true_label,clean_pred,adv_pred,filtered_clean_pred,filtered_adv_pred,detected,corrected,false_positive,discarded_clean_error,discarded_attack_failed,discard_reason
scalar_interval_128,0,7,7,7,7,7,False,True,False,False,True,attack_failed
scalar_interval_128,1,2,2,2,2,2,False,True,False,False,True,attack_failed
scalar_interval_128,2,1,1,1,1,1,False,True,False,False,True,attack_failed
scalar_interval_128,3,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,4,4,4,8,4,4,True,True,False,False,False,
scalar_interval_128,5,1,1,1,1,1,False,True,False,False,True,attack_failed
scalar_interval_128,6,4,4,8,4,4,True,True,False,False,False,
scalar_interval_128,7,9,9,3,9,9,True,True,False,False,False,
scalar_interval_128,8,5,5,6,5,5,True,True,False,False,False,
scalar_interval_128,9,9,9,9,9,9,False,True,False,False,True,attack_failed
scalar_interval_128,10,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,11,6,6,5,6,6,True,True,False,False,False,
scalar_interval_128,12,9,9,4,9,9,True,True,False,False,False,
scalar_interval_128,13,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,14,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,15,5,5,3,5,5,True,True,False,False,False,
scalar_interval_128,16,9,9,7,9,9,True,True,False,False,False,
scalar_interval_128,17,7,7,7,7,7,False,True,False,False,True,attack_failed
scalar_interval_128,18,3,3,8,3,8,False,False,False,False,False,
scalar_interval_128,19,4,4,3,4,4,True,True,False,False,False,
scalar_interval_128,20,9,9,7,9,9,True,True,False,False,False,
scalar_interval_128,21,6,6,5,6,6,True,True,False,False,False,
scalar_interval_128,22,6,6,9,6,6,True,True,False,False,False,
scalar_interval_128,23,5,5,5,5,5,False,True,False,False,True,attack_failed
scalar_interval_128,24,4,4,2,4,4,True,True,False,False,False,
scalar_interval_128,25,0,0,7,0,0,True,True,False,False,False,
scalar_interval_128,26,7,7,7,7,7,False,True,False,False,True,attack_failed
scalar_interval_128,27,4,4,4,4,4,False,True,False,False,True,attack_failed
scalar_interval_128,28,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,29,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,30,3,3,3,3,3,False,True,False,False,True,attack_failed
scalar_interval_128,31,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,32,3,3,3,3,3,False,True,False,False,True,attack_failed
scalar_interval_128,33,4,4,0,4,4,True,True,False,False,False,
scalar_interval_128,34,7,7,8,7,7,True,True,False,False,False,
scalar_interval_128,35,2,2,2,2,2,False,True,False,False,True,attack_failed
scalar_interval_128,36,7,7,2,7,7,True,True,False,False,False,
scalar_interval_128,37,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,38,2,2,3,2,2,True,True,False,False,False,
scalar_interval_128,39,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,40,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,41,7,7,2,7,7,True,True,False,False,False,
scalar_interval_128,42,4,4,4,4,4,False,True,False,False,True,attack_failed
scalar_interval_128,43,2,2,6,2,2,True,True,False,False,False,
scalar_interval_128,44,3,3,3,3,3,False,True,False,False,True,attack_failed
scalar_interval_128,45,5,5,8,5,5,True,True,False,False,False,
scalar_interval_128,46,1,1,8,1,1,True,True,False,False,False,
scalar_interval_128,47,2,2,2,2,2,False,True,False,False,True,attack_failed
scalar_interval_128,48,4,4,9,4,4,True,True,False,False,False,
scalar_interval_128,49,4,4,8,4,4,True,True,False,False,False,
scalar_interval_128,50,6,6,5,6,6,True,True,False,False,False,
scalar_interval_128,51,3,3,3,3,3,False,True,False,False,True,attack_failed
scalar_interval_128,52,5,5,5,5,5,False,True,False,False,True,attack_failed
scalar_interval_128,53,5,5,5,5,5,False,True,False,False,True,attack_failed
scalar_interval_128,54,6,6,5,6,6,True,True,False,False,False,
scalar_interval_128,55,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,56,4,4,4,4,4,False,True,False,False,True,attack_failed
scalar_interval_128,57,1,1,1,1,1,False,True,False,False,True,attack_failed
scalar_interval_128,58,9,9,7,9,9,True,True,False,False,False,
scalar_interval_128,59,5,5,3,5,5,True,True,False,False,False,
scalar_interval_128,60,7,7,5,7,7,True,True,False,False,False,
scalar_interval_128,61,8,8,2,8,8,True,True,False,False,False,
scalar_interval_128,62,9,9,5,9,5,False,False,False,False,False,
scalar_interval_128,63,3,3,2,3,3,True,True,False,False,False,
scalar_interval_128,64,7,7,7,7,7,False,True,False,False,True,attack_failed
scalar_interval_128,65,4,4,3,4,4,True,True,False,False,False,
scalar_interval_128,66,6,6,9,6,6,True,True,False,False,False,
scalar_interval_128,67,4,4,9,4,4,True,True,False,False,False,
scalar_interval_128,68,3,3,3,3,3,False,True,False,False,True,attack_failed
scalar_interval_128,69,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,70,7,7,7,7,7,False,True,False,False,True,attack_failed
scalar_interval_128,71,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,72,2,2,2,2,2,False,True,False,False,True,attack_failed
scalar_interval_128,73,9,9,8,9,8,False,False,False,False,False,
scalar_interval_128,74,1,1,1,1,1,False,True,False,False,True,attack_failed
scalar_interval_128,75,7,7,3,7,7,True,True,False,False,False,
scalar_interval_128,76,3,3,3,3,3,False,True,False,False,True,attack_failed
scalar_interval_128,77,2,2,2,2,2,False,True,False,False,True,attack_failed
scalar_interval_128,78,9,9,8,9,8,False,False,False,False,False,
scalar_interval_128,79,7,7,3,7,7,True,True,False,False,False,
scalar_interval_128,80,7,7,9,7,7,True,True,False,False,False,
scalar_interval_128,81,6,6,6,6,6,False,True,False,False,True,attack_failed
scalar_interval_128,82,2,2,2,2,2,False,True,False,False,True,attack_failed
scalar_interval_128,83,7,7,7,7,7,False,True,False,False,True,attack_failed
scalar_interval_128,84,8,8,3,8,8,True,True,False,False,False,
scalar_interval_128,85,4,4,8,4,4,True,True,False,False,False,
scalar_interval_128,86,7,7,7,7,7,False,True,False,False,True,attack_failed
scalar_interval_128,87,3,3,2,3,3,True,True,False,False,False,
scalar_interval_128,88,6,6,6,6,6,False,True,False,False,True,attack_failed
scalar_interval_128,89,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,90,3,3,3,3,3,False,True,False,False,True,attack_failed
scalar_interval_128,91,6,6,5,6,6,True,True,False,False,False,
scalar_interval_128,92,9,9,4,9,4,False,False,False,False,False,
scalar_interval_128,93,3,3,3,3,3,False,True,False,False,True,attack_failed
scalar_interval_128,94,1,1,1,1,1,False,True,False,False,True,attack_failed
scalar_interval_128,95,4,4,8,4,8,False,False,False,False,False,
scalar_interval_128,96,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,97,7,7,7,7,7,False,True,False,False,True,attack_failed
scalar_interval_128,98,6,6,8,6,6,True,True,False,False,False,
scalar_interval_128,99,9,9,7,9,9,True,True,False,False,False,
scalar_interval_128,100,6,6,8,6,6,True,True,False,False,False,
scalar_interval_128,101,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,102,5,5,5,5,5,False,True,False,False,True,attack_failed
scalar_interval_128,103,4,4,4,4,4,False,True,False,False,True,attack_failed
scalar_interval_128,104,9,9,5,9,5,False,False,False,False,False,
scalar_interval_128,105,9,9,3,9,9,True,True,False,False,False,
scalar_interval_128,106,2,2,2,2,2,False,True,False,False,True,attack_failed
scalar_interval_128,107,1,1,1,1,1,False,True,False,False,True,attack_failed
scalar_interval_128,108,9,9,9,9,9,False,True,False,False,True,attack_failed
scalar_interval_128,109,4,4,4,4,4,False,True,False,False,True,attack_failed
scalar_interval_128,110,8,8,3,8,8,True,True,False,False,False,
scalar_interval_128,111,7,7,1,7,7,True,True,False,False,False,
scalar_interval_128,112,3,3,3,3,3,False,True,False,False,True,attack_failed
scalar_interval_128,113,9,9,3,9,9,True,True,False,False,False,
scalar_interval_128,114,7,7,7,7,7,False,True,False,False,True,attack_failed
scalar_interval_128,115,4,4,9,4,9,False,False,False,False,False,
scalar_interval_128,116,4,4,9,4,4,True,True,False,False,False,
scalar_interval_128,117,4,4,4,4,4,False,True,False,False,True,attack_failed
scalar_interval_128,118,9,9,4,9,9,True,True,False,False,False,
scalar_interval_128,119,2,2,7,2,2,True,True,False,False,False,
scalar_interval_128,120,5,5,3,5,5,True,True,False,False,False,
scalar_interval_128,121,4,4,8,4,4,True,True,False,False,False,
scalar_interval_128,122,7,7,7,7,7,False,True,False,False,True,attack_failed
scalar_interval_128,123,6,6,8,6,6,True,True,False,False,False,
scalar_interval_128,124,7,7,4,7,7,True,True,False,False,False,
scalar_interval_128,125,9,9,4,9,9,True,True,False,False,False,
scalar_interval_128,126,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,127,5,5,5,5,5,False,True,False,False,True,attack_failed
scalar_interval_128,128,8,8,8,8,8,False,True,False,False,True,attack_failed
scalar_interval_128,129,5,5,5,5,5,False,True,False,False,True,attack_failed
scalar_interval_128,130,6,6,6,6,6,False,True,False,False,True,attack_failed
scalar_interval_128,131,6,6,6,6,6,False,True,False,False,True,attack_failed
scalar_interval_128,132,5,5,5,5,5,False,True,False,False,True,attack_failed
scalar_interval_128,133,7,7,3,7,7,True,True,False,False,False,
scalar_interval_128,134,8,8,8,8,8,False,True,False,False,True,attack_failed
scalar_interval_128,135,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,136,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,137,1,1,1,1,1,False,True,False,False,True,attack_failed
scalar_interval_128,138,6,6,6,6,6,False,True,False,False,True,attack_failed
scalar_interval_128,139,4,4,3,4,4,True,True,False,False,False,
scalar_interval_128,140,6,6,5,6,6,True,True,False,False,False,
scalar_interval_128,141,7,7,7,7,7,False,True,False,False,True,attack_failed
scalar_interval_128,142,3,3,2,3,3,True,True,False,False,False,
scalar_interval_128,143,1,1,1,1,1,False,True,False,False,True,attack_failed
scalar_interval_128,144,7,7,9,7,7,True,True,False,False,False,
scalar_interval_128,145,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,146,8,8,3,8,8,True,True,False,False,False,
scalar_interval_128,147,2,2,2,2,2,False,True,False,False,True,attack_failed
scalar_interval_128,148,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,149,2,2,3,2,2,True,True,False,False,False,
scalar_interval_128,150,9,9,7,9,9,True,True,False,False,False,
scalar_interval_128,151,9,9,8,9,9,True,True,False,False,False,
scalar_interval_128,152,5,5,5,5,5,False,True,False,False,True,attack_failed
scalar_interval_128,153,5,5,5,5,5,False,True,False,False,True,attack_failed
scalar_interval_128,154,1,1,1,1,1,False,True,False,False,True,attack_failed
scalar_interval_128,155,5,5,5,5,5,False,True,False,False,True,attack_failed
scalar_interval_128,156,6,6,6,6,6,False,True,False,False,True,attack_failed
scalar_interval_128,157,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,158,3,3,2,3,2,False,False,False,False,False,
scalar_interval_128,159,4,4,3,4,4,True,True,False,False,False,
scalar_interval_128,160,4,4,8,4,4,True,True,False,False,False,
scalar_interval_128,161,6,6,5,6,6,True,True,False,False,False,
scalar_interval_128,162,5,5,5,5,5,False,True,False,False,True,attack_failed
scalar_interval_128,163,4,4,4,4,4,False,True,False,False,True,attack_failed
scalar_interval_128,164,6,6,4,6,6,True,True,False,False,False,
scalar_interval_128,165,5,5,5,5,5,False,True,False,False,True,attack_failed
scalar_interval_128,166,4,4,4,4,4,False,True,False,False,True,attack_failed
scalar_interval_128,167,5,5,2,5,5,True,True,False,False,False,
scalar_interval_128,168,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,169,4,4,8,4,4,True,True,False,False,False,
scalar_interval_128,170,4,4,4,4,4,False,True,False,False,True,attack_failed
scalar_interval_128,171,7,7,2,7,7,True,True,False,False,False,
scalar_interval_128,172,2,2,3,2,2,True,True,False,False,False,
scalar_interval_128,173,3,3,5,3,3,True,True,False,False,False,
scalar_interval_128,174,2,2,8,2,2,True,True,False,False,False,
scalar_interval_128,175,7,7,1,7,1,False,False,False,False,False,
scalar_interval_128,176,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,177,8,8,8,8,8,False,True,False,False,True,attack_failed
scalar_interval_128,178,1,1,1,1,1,False,True,False,False,True,attack_failed
scalar_interval_128,179,8,8,2,8,8,True,True,False,False,False,
scalar_interval_128,180,1,1,1,1,1,False,True,False,False,True,attack_failed
scalar_interval_128,181,8,8,8,8,8,False,True,False,False,True,attack_failed
scalar_interval_128,182,5,5,5,5,5,False,True,False,False,True,attack_failed
scalar_interval_128,183,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,184,8,8,3,8,8,True,True,False,False,False,
scalar_interval_128,185,9,9,4,9,9,True,True,False,False,False,
scalar_interval_128,186,2,2,2,2,2,False,True,False,False,True,attack_failed
scalar_interval_128,187,5,5,3,5,5,True,True,False,False,False,
scalar_interval_128,188,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,189,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,190,1,1,1,1,1,False,True,False,False,True,attack_failed
scalar_interval_128,191,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,192,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,193,9,9,8,9,8,False,False,False,False,False,
scalar_interval_128,194,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,195,3,3,2,3,3,True,True,False,False,False,
scalar_interval_128,196,1,1,1,1,1,False,True,False,False,True,attack_failed
scalar_interval_128,197,6,6,8,6,6,True,True,False,False,False,
scalar_interval_128,198,4,4,4,4,4,False,True,False,False,True,attack_failed
scalar_interval_128,199,2,2,3,2,2,True,True,False,False,False,
scalar_interval_128,200,3,3,3,3,3,False,True,False,False,True,attack_failed
scalar_interval_128,201,6,6,6,6,6,False,True,False,False,True,attack_failed
scalar_interval_128,202,1,1,1,1,1,False,True,False,False,True,attack_failed
scalar_interval_128,203,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,204,1,1,1,1,1,False,True,False,False,True,attack_failed
scalar_interval_128,205,3,3,3,3,3,False,True,False,False,True,attack_failed
scalar_interval_128,206,9,9,2,9,9,True,True,False,False,False,
scalar_interval_128,207,5,5,3,5,5,True,True,False,False,False,
scalar_interval_128,208,2,2,2,2,2,False,True,False,False,True,attack_failed
scalar_interval_128,209,9,9,4,9,9,True,True,False,False,False,
scalar_interval_128,210,4,4,2,4,4,True,True,False,False,False,
scalar_interval_128,211,5,5,3,5,5,True,True,False,False,False,
scalar_interval_128,212,9,9,8,9,9,True,True,False,False,False,
scalar_interval_128,213,3,3,3,3,3,False,True,False,False,True,attack_failed
scalar_interval_128,214,9,9,8,9,8,False,False,False,False,False,
scalar_interval_128,215,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,216,3,3,3,3,3,False,True,False,False,True,attack_failed
scalar_interval_128,217,6,6,5,6,6,True,True,False,False,False,
scalar_interval_128,218,5,5,5,5,5,False,True,False,False,True,attack_failed
scalar_interval_128,219,5,5,5,5,5,False,True,False,False,True,attack_failed
scalar_interval_128,220,7,7,3,7,7,True,True,False,False,False,
scalar_interval_128,221,2,2,3,2,2,True,True,False,False,False,
scalar_interval_128,222,2,2,2,2,2,False,True,False,False,True,attack_failed
scalar_interval_128,223,7,7,3,7,7,True,True,False,False,False,
scalar_interval_128,224,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,225,2,2,3,2,2,True,True,False,False,False,
scalar_interval_128,226,8,8,3,8,8,True,True,False,False,False,
scalar_interval_128,227,4,4,3,4,4,True,True,False,False,False,
scalar_interval_128,228,1,1,1,1,1,False,True,False,False,True,attack_failed
scalar_interval_128,229,7,7,9,7,7,True,True,False,False,False,
scalar_interval_128,230,3,3,5,3,3,True,True,False,False,False,
scalar_interval_128,231,3,3,3,3,3,False,True,False,False,True,attack_failed
scalar_interval_128,232,8,8,5,8,8,True,True,False,False,False,
scalar_interval_128,233,8,8,3,8,8,True,True,False,False,False,
scalar_interval_128,234,7,7,3,7,7,True,True,False,False,False,
scalar_interval_128,235,9,9,7,9,9,True,True,False,False,False,
scalar_interval_128,236,2,2,2,2,2,False,True,False,False,True,attack_failed
scalar_interval_128,237,2,2,2,2,2,False,True,False,False,True,attack_failed
scalar_interval_128,238,4,4,4,4,4,False,True,False,False,True,attack_failed
scalar_interval_128,239,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,240,5,5,3,5,5,True,True,False,False,False,
scalar_interval_128,241,9,9,3,9,9,True,True,False,False,False,
scalar_interval_128,242,8,8,6,8,8,True,True,False,False,False,
scalar_interval_128,243,7,7,7,7,7,False,True,False,False,True,attack_failed
scalar_interval_128,244,2,2,7,2,2,True,True,False,False,False,
scalar_interval_128,245,3,3,5,3,3,True,True,False,False,False,
scalar_interval_128,246,0,0,0,0,0,False,True,False,False,True,attack_failed
scalar_interval_128,247,4,6,4,6,2,True,False,False,True,False,clean_error
scalar_interval_128,248,4,4,4,4,4,False,True,False,False,True,attack_failed
scalar_interval_128,249,2,2,2,2,2,False,True,False,False,True,attack_failed
scalar_interval_128,250,4,4,9,4,9,False,False,False,False,False,
scalar_interval_128,251,1,1,3,1,1,True,True,False,False,False,
scalar_interval_128,252,9,9,9,9,9,False,True,False,False,True,attack_failed
scalar_interval_128,253,5,5,3,5,5,True,True,False,False,False,
scalar_interval_128,254,7,7,7,7,7,False,True,False,False,True,attack_failed
scalar_interval_128,255,7,7,2,7,7,True,True,False,False,False,
scalar_interval_128,256,2,2,7,2,2,True,True,False,False,False,
scalar_interval_128,257,8,8,2,8,8,True,True,False,False,False,
